seller_id,num_of_orders,total_revenue,avg_delivery_time,avg_review,revenue_group,rank_by_delivery
9b00ed88b7fdb95d6ff76e27c1b52d16,46,1567.88,9.404,4.543,low,70.0
9d4db00d65d7760644ac0c14edb5fd86,96,9802.82,8.071,4.542,high,5.0
2ff97219cb8622eaf3cd89b7d9c09824,87,4339.1,8.975,4.54,medium,38.0
4bfc7a4a1cf8d4d2121c27422d9e50b5,26,8124.4,8.018,4.538,medium,11.0
0432ead42b6c8a0bdf68154add917fdf,82,7574.400000000001,8.895,4.537,medium,37.0
c68fb906c8f4b4b946d8386bfa6e5467,43,4377.65,10.778,4.535,medium,101.0
fde0cc9ea29c8ccfc0a2c22256a58c71,34,3823.0,8.416,4.529,low,44.0
9de4643a8dbde634fe55621059d92273,72,17560.34,14.636,4.528,high,205.0
b1ac6ea7895bc3dd6f0f6f4abbdd2821,38,2962.0,10.18,4.526,low,97.0
b6d44737c043328708f6749c2dbe50bd,61,5284.6,8.212,4.525,medium,17.0
b347677812ea483b0f528eaf8cbc09b7,21,7288.99,13.221,4.524,medium,176.0
7c5b05cbdb5542049f38d90d7815b97d,21,993.97,7.549,4.524,low,22.0
bccf933e006e9b94a6184af782963e77,44,4012.75,11.618,4.523,low,146.0
725c32fa80c2faacc4fc88450d27314e,87,7679.0,8.992,4.517,medium,39.0
709e16e2b25c7474d980076c6bfc4806,60,5151.9,10.642,4.517,medium,96.0
dbd66278cbfe1aa1000f90a217ca4695,84,4901.7,9.245,4.512,medium,45.0
f615fe7efbef0f4f08fd3086bc7a3e60,22,2061.37,7.561,4.5,low,23.0
d66c305afaec317ebee552073a674429,38,4126.59,9.694,4.5,medium,55.0
d8c7ba53e7e38711eaef8c2849d6d2e1,22,1190.87,8.109,4.5,low,39.0
7901646fdd36a55f564ffaf2dbccaaf7,22,11857.08,9.824,4.5,high,32.0
66922902710d126a0e7d26b0e3805106,149,14187.3,11.168,4.497,high,77.0
0ffa40d54288e4f3499b8780dd0f144f,33,2162.8,13.54,4.485,low,203.0
cd6efc47efaabf134f8bdb654e10b4f1,31,4158.55,8.593,4.484,medium,25.0
0ebd97a106433a45a4aebe57c1799778,31,3046.8,9.437,4.484,low,71.0
f67efa3f0b6761102a7f8c6b7b571f5d,31,5188.68,9.979,4.484,medium,69.0
cce6ab8d1682639fe45ab70234f1665f,58,2282.7,15.167,4.483,low,239.0
fa40cc5b934574b62717c68f3d678b6d,303,15880.48,11.314,4.482,high,85.0
42b729f859728f5079499127a9c2ef37,102,4047.16,7.84,4.48,low,34.0
4371b634e0efc0e22b09b52907d9d469,100,8128.0,10.886,4.48,medium,105.0
e48b04bf1aa1ef711caebeb7aede6180,25,3187.1000000000004,10.544,4.48,low,111.0
b2a6d334e2833acea353624840e25a0e,25,1650.98,10.79,4.48,low,118.0
8cc6a0e5738e61a87b03c78b2ba9db4b,23,13272.7,16.773,4.478,high,246.0
acce39e832338debb07b02385cde5967,44,4748.1,7.047,4.477,medium,5.0
5cf13accae3222c70a9cac40818ae839,147,14198.400000000001,10.662,4.476,high,56.0
c72de06d72748d1a0dfb2125be43ba63,21,17522.0,9.696,4.476,high,29.0
f181738b150df1f37cb0bd72e705b193,36,5529.7,9.319,4.472,medium,46.0
527801b552d0077ffd170872eb49683b,89,17833.899999999998,12.866,4.472,high,144.0
0509040ea3fe50071181bbc359eb7738,85,3452.55,11.559,4.471,low,142.0
715bbd5ba4e6b74cb0d2f29eb45058b0,62,4043.3,11.924,4.468,low,155.0
e38db885400cd35c71dfd162f2c1dbcf,30,2066.8,12.859,4.467,low,181.0
c003204e1ab016dfa150abc119207b24,195,24904.29,9.627,4.467,high,27.0
c3cfdc648177fdbbbb35635a37472c53,274,42621.19,9.617,4.464,high,26.0
55a5b51f93f2b70ea513f5a047b0262a,39,4002.3,13.74,4.462,low,210.0
cac876b37d3abcd6bd76caca30277996,26,2161.87,10.055,4.462,low,89.0
ba143b05f0110f0dc71ad71b4466ce92,83,5998.7,10.242,4.458,medium,81.0
7b1222c3624aa89b9558b50a2594188c,22,10103.52,17.665,4.455,high,251.0
65febd49fd28ec955651299159b1f527,33,4136.71,6.68,4.455,medium,3.0
cc5a78bbad32776dc4e3af205218368c,33,4269.18,8.184,4.455,medium,15.0
9d5a9018aee56acb367ba9c3f05d1d6a,66,10119.98,15.023,4.455,high,218.0
6cd68b3ed6d59aaa9fece558ad360c0a,148,11069.67,10.507,4.453,high,54.0
6c7d50c24b3ccd2fd83b44d8bb34e073,111,8302.36,12.3,4.45,medium,148.0
9646c3513289980f17226a2fc4720dbd,69,2964.4,11.201,4.449,low,132.0
75fbb52eda0cbc24f479d3b2fbfa8d3e,38,1094.19,13.753,4.447,low,211.0
8a130737016f838139d31878787a39c9,56,4222.03,10.189,4.446,medium,79.0
8ae520247981aa06bc94abddf5f46d34,65,16320.99,10.979,4.446,high,70.0
aba1721a889e04decc910aa13b768ef4,83,14103.3,9.326,4.446,high,19.0
ffc470761de7d0232558ba5e786e57b7,27,1529.13,9.739,4.444,low,80.0
325f3178fb58e2a9778334621eecdbf9,36,981.6999999999999,6.405,4.444,low,9.0
febab0275244b9a49a623f0bd613ca2f,106,7094.82,8.648,4.443,medium,28.0
edb1ef5e36e0c8cd84eb3c9b003e486d,165,79144.9,11.898,4.442,high,107.0
25e6ffe976bd75618accfe16cefcbd0d,105,11432.62,10.083,4.438,high,41.0
7e26c750b4cb9f6766f58265ff9ebe95,23,1344.3,9.23,4.435,low,62.0
0ea22c1cfbdc755f86b9b54b39c16043,226,10347.9,10.934,4.434,high,67.0
c8b3445d737de6befde0c88ede534a5e,30,3149.04,11.699,4.433,low,150.0
eeb6de78f79159600292e314a77cbd18,81,43291.84,12.102,4.432,high,111.0
1eade46fba20122dc4aefb379f8c636b,58,3635.37,12.374,4.431,low,164.0
612170e34b97004b3ba37eae81836b4c,107,23065.02,10.988,4.43,high,71.0
7299e27ed73d2ad986de7f7c77d919fa,335,34107.44,11.298,4.43,high,84.0
323ce52b5b81df2cd804b017b7f09aa7,28,2294.4,16.413,4.429,low,250.0
31344c16881c08a8a72c6d2eb29918c1,42,9365.8,15.695,4.429,medium,237.0
3d5d0dc7073a299e31fa718ce1bc00b6,21,674.8,8.492,4.429,low,46.0
bf00385a5f7fc1ef39a13c2e9ee50a5f,28,855.4,5.772,4.429,low,4.0
0d33a55da925bbf1ff02af5f6059fc7f,21,519.3,8.2,4.429,low,42.0
1b938a7ec6ac5061a66a3766e0e75f90,28,3800.9,11.12,4.429,low,130.0
b372ee768ed69e46ca8cdbd267aa7a38,63,12665.0,12.495,4.429,high,127.0
d57e18d5f73c7ccb7f7339b61166898d,61,3187.7,9.213,4.426,low,61.0
aced59e9b31ef866a94f9e7f29d8d418,61,7268.5,9.737,4.426,medium,58.0
2dee2ce60de9709b1a24083217181a1f,54,7784.5,14.143,4.426,medium,211.0
f41ce2e25237f9092cd8e6e7516c7a2f,26,1961.9,8.77,4.423,low,54.0
77a515caa36327151d1cc6c32a9f00e1,26,2217.39,10.338,4.423,low,103.0
ba90964cff9b9e0e6f32b23b82465f7b,38,44212.5,10.018,4.421,high,39.0
78c99c6dff4eeae5be99bf635ed21e3f,31,2030.88,13.446,4.419,low,200.0
57e632711dec9ec14ca7546769483e7e,62,6439.96,10.925,4.419,medium,107.0
9baf5cb77970f539089d09a38bcec5c3,31,5989.68,15.172,4.419,medium,230.0
7b07b3c7487f0ea825fc6df75abd658b,91,9259.47,9.586,4.418,medium,53.0
7ecd59e5e20407131822c1a68ac59c1f,24,1466.71,17.208,4.417,low,255.0
3586b8580d9c917874e053a1bb37b5ff,36,1524.6999999999998,13.62,4.417,low,206.0
a3f0b55de503387383c7b1de3ad7f678,24,4348.400000000001,10.705,4.417,medium,99.0
3504c0cb71d7fa48d967e0e4c94d59d9,53,2349.94,7.328,4.415,low,17.0
8bb48dc19fccaa8613b6229bf7f452a2,82,4215.12,11.476,4.415,medium,120.0
26d8a1c7c75d513045798992ead43aa2,34,5937.13,12.723,4.412,medium,164.0
fc906263ca5083d09dce42fe02247800,112,4417.9,9.4,4.411,medium,48.0
d23019c84ffae2d5ef2270367b8605fc,39,29205.1,11.278,4.41,high,83.0
33a6f4b1e7cdc205511e76ba1b6e0186,105,10295.01,8.502,4.41,high,9.0
4da0e408c99d2fdc2126dc9fce518060,44,3183.7000000000003,9.281,4.409,low,64.0
730937bf88cb151eb2eb849f642fc213,22,2821.2,6.472,4.409,low,10.0
503c1de08ae81a2d86f17951b204db55,22,4906.99,13.489,4.409,medium,193.0
5670f4db5b62c43d542e1b2d56b0cf7c,22,6630.09,8.533,4.409,medium,23.0
5f5b43b2bffa8656e4bc6efeb13cc649,27,3677.2,13.946,4.407,low,219.0
5f1dc28029d2c244352a68107ec2b542,59,2710.4,9.555,4.407,low,75.0
643214e62b870443ccbe55ab29a4dccf,64,3197.23,9.626,4.406,low,77.0
aafe36600ce604f205b86b5084d3d767,129,9251.4,12.499,4.403,medium,154.0
87142160b41353c4e5fca2360caf6f92,303,31061.08,10.94,4.403,high,68.0
b2ac621f0d0322434d04a12b078b9369,30,9575.5,14.671,4.4,medium,224.0
058fd0aa2bfdb2274e05e1ae971dabb6,60,7549.9,10.142,4.4,medium,77.0
bd4889b5e9133b35b66e42a8665cea5c,35,6119.0,10.537,4.4,medium,92.0
1e8b33f18b4f7598d87f5cbee2282cc2,120,17071.760000000002,7.841,4.4,high,4.0
fe2032dab1a61af8794248c8196565c9,288,64445.81,10.599,4.399,high,55.0
ef0ace09169ac090589d85746e3e036f,128,16105.400000000001,12.822,4.398,high,142.0
a3a38f4affed601eb87a97788c949667,246,25819.84,12.502,4.398,high,128.0
70eea00b476a314817cefde4aad4f89a,103,30894.95,13.321,4.398,high,166.0
91f848e9f4be368f4318775aac733370,58,5483.62,9.992,4.397,medium,70.0
381c83fdca332ea6afd896da20bf6e4a,46,7355.8,12.692,4.391,medium,163.0
0ed6ce5d87fd9c69eaacaeb778d67235,41,2011.53,15.21,4.39,low,240.0
c6bda72e4dbf5c5866b13cb1810c6d03,59,14059.380000000001,10.207,4.39,high,47.0
7b0df942f46435babab05d49b744b2c4,31,21311.91,10.999,4.387,high,72.0
ccf8813e5a7d6c84d865cd38bfc2b130,26,2635.5,11.431,4.385,low,137.0
20d83f3ef0e6925fd74bfd59170babf7,39,2863.7,8.949,4.385,low,56.0
c70c1b0d8ca86052f45a432a38b73958,255,35566.32,8.126,4.384,high,8.0
0df3984f9dfb3d49ac6366acbd3bbb85,86,9891.49,9.546,4.384,high,23.0
d12c926d74ceff0a90a21184466ce161,76,3850.2799999999997,8.725,4.382,low,52.0
6edacfd9f9074789dad6d62ba7950b9c,205,13016.3,9.093,4.38,high,14.0
01fdefa7697d26ad920e9e0346d4bd1b,127,14712.630000000001,10.776,4.378,high,61.0
2a84855fd20af891be03bc5924d2b453,154,14970.1,8.622,4.377,high,10.0
f62d7bb4a613ec758a03342d46b580b2,32,24665.0,13.872,4.375,high,176.0
2e13c71026e1a39ba5cc1b86dcb679aa,24,3793.0,10.574,4.375,low,112.0
3340ef1913fb70d28420f6ceb685c339,32,6731.150000000001,16.713,4.375,medium,243.0
2199e7fe213c16213bf5d6a7eadc9a5d,24,3767.29,10.778,4.375,low,116.0
fa1c13f2614d7b5c4749cbc52fecda94,574,189649.54,13.277,4.373,high,162.0
1838dd9b8977065acf51d95e0053ea7a,62,2750.5,12.791,4.371,low,177.0
dee656f0f566ed1aa85bd137c943f08f,92,6212.08,12.595,4.37,medium,159.0
d650b663c3b5f6fb392b6326366efa9a,57,18335.9,9.837,4.368,high,33.0
282f23a9769b2690c5dda22e316f9941,98,6464.28,11.222,4.367,medium,114.0
0241d4d5d36f10f80c644447315af0bd,235,31062.7,10.874,4.366,high,66.0
2b3e4a2a3ea8e01938cabda2a3e5cc79,52,23629.15,8.776,4.365,high,11.0
9f505651f4a6abe901a56cdc21508025,389,25715.88,8.093,4.365,high,7.0
08633c14ef2db992c11f840f04fad4cd,74,7644.3,9.956,4.365,medium,67.0
7e93a43ef30c4f03f38b393420bc753a,318,165751.5,11.222,4.365,high,81.0
5160d23075764e18e07c1f4a87fad743,33,2359.0,9.304,4.364,low,66.0
54a1852d1b8f10312c55e906355666ee,196,16806.47,11.558,4.362,high,94.0
4b9750c8ad28220fe6702d4ecb7c898f,216,15766.5,9.339,4.361,high,20.0
5debea795b07621e1f90532e18f96145,25,1883.78,10.347,4.36,low,104.0
c0563dd588b775f2e37747ef6ad6c92c,28,3697.2000000000003,10.859,4.357,low,122.0
8c16d1f32a54d92897cc437244442e1b,107,5244.6,11.028,4.355,medium,109.0
42bde9fef835393bb8a8849cb6b7f245,34,7574.0,10.372,4.353,medium,88.0
1d4587203296c8f4ad134dc286fa6db0,40,2287.5,9.463,4.35,low,72.0
259f7b5e6e482c230e5bfaa670b6bb8f,135,8333.24,8.696,4.348,medium,30.0
fd386aa7bed2af3c7035c65506c9b4a3,69,2304.15,8.562,4.348,low,47.0
06df0c10d34e459d9672bc77388742eb,26,9070.0,10.082,4.346,medium,74.0
7d456afc660226829370f3173d14520c,55,8456.25,8.503,4.345,medium,21.0
3361277dc30b7cccdb0c286b24219756,29,3905.05,13.247,4.345,low,195.0
240b9776d844d37535668549a396af32,35,13332.09,11.357,4.343,high,88.0
b561927807645834b59ef0d16ba55a24,85,4501.99,12.612,4.341,medium,160.0
6b90f847357d8981edd79a1eb1bf0acb,44,3258.08,5.582,4.341,low,2.0
530ec6109d11eaaf87999465c6afee01,94,12682.11,10.852,4.34,high,65.0
17f51e7198701186712e53a39c564617,56,48019.0,23.242,4.339,high,261.0
1554a68530182680ad5c8b042c3ab563,242,28457.55,14.103,4.339,high,184.0
cab85505710c7cb9b720bceb52b01cee,198,10944.8,10.085,4.338,high,42.0
d98eec89afa3380e14463da2aabaea72,166,6893.55,8.363,4.337,medium,19.0
80e6699fe29150b372a0c8a1ebf7dcc8,95,11017.16,11.488,4.337,high,93.0
3f3486b61f45078d4f31ee5e43d8c5bb,39,3769.73,13.881,4.333,low,214.0
cb8bcce248bb1fb274ba762d8b971456,66,9152.4,12.631,4.333,medium,162.0
bd697db56ff8e7c9cd1abeb7f72029b2,21,2869.79,10.884,4.333,low,123.0
a5a1bfcf728ab0e19182959cf0771ee4,21,1812.96,13.414,4.333,low,197.0
f680f85bee2d253556ac91be391d2c82,45,5183.92,9.749,4.333,medium,59.0
34d1ca11b242c0fee2c834ae8d788566,39,12841.97,12.775,4.333,high,139.0
1f1bb1f0859883505541bdd6606193e5,27,16040.84,13.978,4.333,high,179.0
640e21a7d01df7614a3b4923e990d40c,115,7528.89,10.32,4.33,medium,87.0
9616352088dcf83a7c06637f4ebf1c80,91,5643.099999999999,12.44,4.33,medium,151.0
e333046ce6517bd8bb510291d44f0130,67,7159.0,10.094,4.328,medium,76.0
25cf099de44674fde97473224f9d59ab,49,1644.36,9.499,4.327,low,73.0
406822777a0b9eb5c50e442dd4cd3ec5,43,3488.19,12.94,4.326,low,187.0
83deb69e889cf80f82be1dc6d5f2d486,40,5363.01,15.945,4.325,medium,239.0
c9aafcd0621b2207c10e32c649cada4d,40,2671.26,8.712,4.325,low,50.0
14d7985702e72162bbf13b6beb74ab2b,37,3887.0,11.058,4.324,low,129.0
bacb1f0ed56ad24198f5810d2b3fe9a5,37,5859.150000000001,9.877,4.324,medium,62.0
b90e891671cffd9557f33a97dc523645,34,4449.0,7.636,4.324,medium,8.0
dbc22125167c298ef99da25668e1011f,392,32788.22,11.418,4.321,high,89.0
37be5a7c751166fbc5f8ccba4119e043,260,53362.56,10.671,4.319,high,57.0
bfd27a966d91cfaafdb25d076585f0da,113,19180.0,12.474,4.319,high,125.0
abcd2cb37d46c2c8fb1bf071c859fc5b,44,4817.32,13.893,4.318,medium,207.0
b8bc237ba3788b23da09c0f1f3a3288c,44,13426.710000000001,11.627,4.318,high,97.0
e9511df20ccd82658a30c37b7fb343af,22,2096.6,9.758,4.318,low,81.0
d624126b9206f595fb3fbb6ba03b28a8,22,6838.9,11.455,4.318,medium,119.0
e63e8bfa530fb16910dd6956e592bb81,41,1282.8,9.379,4.317,low,69.0
23c38debaffe4a25a30fdbd9b586a13f,41,5382.18,11.483,4.317,medium,121.0
05ff92fedb5be47920fea08e501238b9,57,21235.98,12.338,4.316,high,119.0
113e3a788b935f48aad63e1c41dac1bd,38,838.03,13.096,4.316,low,190.0
8581055ce74af1daba164fdbd55a40de,377,64081.52,13.07,4.316,high,153.0
ccc4bbb5f32a6ab2b7066a4130f114e3,181,71877.02,15.853,4.315,high,233.0
11305281b50fff20ae8bb473f8e11876,35,6528.7,13.579,4.314,medium,198.0
81a1104df0f08b59c68aa5b03cfe398e,70,8988.18,13.029,4.314,medium,172.0
de23c3b98a88888289c6f5cc1209054a,160,25823.68,10.834,4.312,high,64.0
670c26e0f1bf8d0576271d5cfaec6d2b,77,6250.1,14.282,4.312,medium,213.0
e7df4cd29ab5abab70fb0783ddb53987,23,9608.699999999999,10.157,4.304,high,44.0
ff063b022a9a0aab91bad2c9088760b7,92,11878.5,9.382,4.304,high,21.0
3078096983cf766a32a06257648502d1,56,7910.84,12.068,4.304,medium,141.0
de722cd6dad950a92b7d4f82673f8833,336,54976.4,12.62,4.304,high,131.0
e0a366315b1b726b6c7832d664c0f530,43,7400.09,7.975,4.302,medium,10.0
620c87c171fb2a6dd6e8bb4dec959fc6,712,111092.8,12.846,4.302,high,143.0
750303a20e9c56b2a6bc45cdce0b897d,53,7876.0,14.104,4.302,medium,210.0
cfe94489ddd337d1e29e12f2a7205d10,20,2376.0,6.922,4.3,low,13.0
e8b4225284fbb02d16f200513f1f395d,30,5638.62,10.222,4.3,medium,80.0
1fe5540d7c1c37a595fefbacd5570d9e,20,4537.6,11.862,4.3,medium,134.0
b74d1c09cb380e1d03a6f859c6f4224b,30,2174.61,10.781,4.3,low,117.0
850f4f8af5ea87287ac68de36e29107f,181,43449.39,10.124,4.298,high,43.0
994f04b3718c2bab35c2adfa8afecd2a,47,3289.8,14.035,4.298,low,223.0
b94cc9f10ddc85e4ba73a6f7974e7101,37,24096.3,10.238,4.297,high,48.0
0bae85eb84b9fb3bd773911e89288d54,136,7433.5599999999995,10.279,4.294,medium,84.0
ec8879960bd2221d5c32f8e12f7da711,34,3827.6000000000004,16.321,4.294,low,248.0
827f8f69dfa529c561901c4f2e0f332f,89,3348.5899999999997,13.425,4.292,low,198.0
048c2757535328e0d7dac690ad3c0aae,48,8707.48,17.801,4.292,medium,252.0
c8417879a15366a17c30af34c798c332,24,1715.0,8.738,4.292,low,53.0
00ee68308b45bc5e2660cd833c3f81cc,132,20049.0,9.632,4.288,high,28.0
52f9db5cfb423382a2fa5c9e39303202,21,1218.78,10.174,4.286,low,96.0
520b493b57809f446cb0a233bb3e25c7,63,3713.9,7.682,4.286,low,27.0
e6a69c4a27dfdd98ffe5aa757ad744bc,21,508.51,10.744,4.286,low,114.0
9596c870880d900012f2e8e6e30d06d7,21,7625.35,13.834,4.286,medium,205.0
30a2f535bb48308f991d0b9ad4a8c4bb,71,4781.2,8.211,4.282,medium,16.0
8bd0f31cf0a614c658f6763bd02dea69,32,4373.34,10.092,4.281,medium,75.0
fad44952713764836814be105382aee5,32,5129.0,10.794,4.281,medium,103.0
8f119a0aee85c0c8fc534629734e94fd,75,3578.88,10.047,4.28,low,88.0
916748bc99315c2d202898ae58b1617e,25,369.40000000000003,10.472,4.28,low,107.0
7008613ea464bad5cb9b83456e1e6a8f,122,7509.2,14.296,4.279,medium,215.0
5cbbd5a299cab112b7bf23862255e43e,36,2726.06,10.854,4.278,low,121.0
d6b1ce66b035a475f00c017792ff9769,90,12067.6,10.162,4.278,high,45.0
4c498c7345e89aebad651544829beca0,47,4570.27,10.829,4.277,medium,104.0
cb3dd9ce66268c7a3ca7241ac70ab58c,47,2688.33,14.026,4.277,low,222.0
59fb871bf6f4522a87ba567b42dafecf,123,21178.600000000002,11.999,4.276,high,108.0
7a67c85e85bb2ce8582c35f2203ad736,1137,138868.75,11.172,4.276,high,78.0
a1043bafd471dff536d0c462352beb48,700,99011.23,13.669,4.276,high,175.0
1a3df491d1c4f1589fc2b934ada68bf2,160,22607.3,14.843,4.275,high,212.0
f214d28e8d8e3ef068748498ccc2f813,51,2117.44,10.389,4.275,low,106.0
b1a81260566c1bac3114a6d124413f27,51,8684.69,8.565,4.275,medium,24.0
f5a590cf36251cf1162ea35bef76fe84,113,51232.78,11.745,4.274,high,101.0
46dc3b2cc0980fb8ec44634e21d2718e,497,120866.45,11.891,4.274,high,106.0
afe0067131b73e40875c9b6c10bd2e21,44,4950.6,15.59,4.273,medium,235.0
dbb9b48c841a0e39e21f98e1a6b2ec3e,108,7186.85,9.818,4.269,medium,61.0
382229d1e840115ffe3dbf5ff460e417,45,4037.06,9.3,4.267,low,65.0
6b243f80ed07b10f0e8aa0f21a205f3c,79,6260.1,11.162,4.266,medium,112.0
669ae81880e08f269a64487cfb287169,160,13148.87,12.212,4.262,high,114.0
